Profile,Name,Alt,Korean Name,Debut,Company,Members,Or. Members,Type,Fanclub,Active,Debut Year
Profile,Loona,LOOΠΔ,이달의 소녀,2018-08-20,Blockberry,12,12,Girl,,Yes,2020
Profile,fromis_9,,프로미스나인,2018-01-24,Off The Record,9,9,Girl,,Yes,2024
,Target,,타겟,2018-01-23,TNS,7,7,Boy,,Yes,2023
Profile,Honey Popcorn,,허니팝콘,2018-03-21,Kyun Create,3,3,Girl,,No,2021
Profile,Girlkind,,걸카인드,2018-01-16,Nextlevel,5,5,Girl,,Yes,2016
Profile,Stray Kids,SKZ,스트레이 키즈,2018-03-25,JYP,8,9,Boy,STAY,Yes,2025
Profile,(G)I-DLE,,(여자)아이들,2018-05-02,Cube,5,6,Girl,,Yes,2002
Profile,GWSN,,공원소녀,2018-09-05,Kiwi Pop,7,7,Girl,Groo,Yes,2005
Profile,IZ*ONE,IZONE,아이즈원,2018-10-29,Off The Record,12,12,Girl,,No,2029
Profile,Nature,,네이처,2018-08-03,n.CH,9,9,Girl,,Yes,2003
,Noir,,느와르,2018-04-09,LUK,9,9,Boy,,Yes,2009
Profile,Uni.T,,유니티,2018-05-18,Unit Culture,8,9,Girl,,No,2018
,UNB,,유앤비,2018-04-07,Unit Culture,9,9,Boy,,No,2007
,We Girls,,위걸스,2018-08-31,Afternoon,8,8,Girl,,Yes,1931
,Gawi Bawi Bo,GBB,지비비,2018-05-01,LOUDers,5,5,Girl,,Yes,2001
,NTB,,엔티비,2018-05-28,High Choice,6,6,Boy,,Yes,2028
Profile,Dreamnote,,드림노트,2018-11-07,iME,6,8,Girl,,Yes,2007
,Cherry On Top,,체리온탑,2018-08-09,United,4,4,Girl,,No,2009
Profile,Saturday,,세러데이,2018-07-18,SD,6,7,Girl,,Yes,2018
,FLAVOR,,플레이버,2018-11-26,FENT,3,3,Girl,,No,2026
Profile,Pink Fantasy,,핑크판타지,2018-10-28,My Doll,8,8,Girl,,Yes,2028
,Rose Finger,,로즈핑거,2018-10-03,YC:Bros,4,4,Girl,,No,2003
,Destiny,,데스티니,2018-09-28,D-SIDE,4,4,Girl,,Yes,2028
,Kitten Girls,,키튼걸스,2018-09-04,Wannabe,4,4,Girl,,No,2004
,Camila,,카밀라,2018-08-29,Camila,3,3,Girl,,No,2029
,Sha Sha,,샤샤,2018-02-27,Major Ent,6,6,Girl,,No,2027
,AiRiSu,,아이리수,2018-07-25,Jang,4,4,Girl,,No,2025
,KHAN,,칸,2018-05-23,Maroo,2,2,Girl,,No,2023
Profile,ATEEZ,,에이티즈,2018-10-24,KQ,8,8,Boy,,Yes,2024
,THE MAN BLK,,더 맨 블랙,2018-11-15,Stardium,10,10,Boy,,Yes,2015
,D-Crunch,,디크런치,2018-08-06,All-S,9,9,Boy,,Yes,2006
,Spectrum,,스펙트럼,2018-05-09,WYNN,6,7,Boy,,No,2009
,JBJ95,,제이비제이95,2018-10-30,Hunus,2,2,Boy,,Yes,1930
,Lucente,,루첸트,2018-09-18,NOGA,7,7,Boy,,Yes,2018
Profile,NeonPunch,,네온펀치,2018-06-27,A100,5,5,Girl,,No,2027
Profile,Cherry Bullet,,체리블렛,2019-01-21,FNC,7,10,Girl,,Yes,2021
Profile,PURPLEBECK,,퍼플백,2019-06-24,Majesty,5,5,Girl,Beckies,Yes,2024
Profile,Oneus,,원어스,2019-01-09,RBW,5,6,Boy,,Yes,2009
Profile,Verivery,VRVR,베리베리,2019-09-01,Jellyfish,7,7,Boy,,Yes,2001
Profile,M.O.N.T,MONT,몬트,2019-01-04,FM,3,3,Boy,,Yes,2004
Profile,ITZY,,있지,2019-02-12,JYP,5,5,Girl,Mitzy,Yes,2012
Profile,Lusty,,러스티,2019-06-26,babaplay,5,5,Girl,,Yes,2026
Profile,Everglow,,에버글로우,2019-03-18,Yuehua,6,6,Girl,,Yes,2018
Profile,CIX,,씨아이엑스,2019-07-23,C9,5,5,Boy,,Yes,2023
Profile,We In The Zone,,위인더존,2019-05-27,Choon,5,5,Boy,,No,2027
Profile,CICI,,씨씨,2019-06-27,UPVOTE,4,4,Boy,,No,2027
Profile,AB6IX,,에이비식스,2019-05-22,Brand New,4,5,Boy,ABNEW,Yes,2022
Profile,Newkidd,,뉴키드,2019-04-25,J-FLO,7,7,Boy,,Yes,2025
Profile,MustB,,머스트비,2019-01-21,MustM,7,7,Boy,,Yes,2021
Profile,ENOi,,이엔오아이,2019-04-19,KITHEWHALE,7,7,Boy,,No,2019
Profile,Limitless,,리미트리스,2019-07-09,ONO,4,4,Boy,,Yes,2009
Profile,BVNDIT,,밴디트,2019-04-10,MNH,5,5,Girl,,Yes,2010
Profile,1the9,,원더나인,2019-02-09,MBK,9,9,Boy,,Yes,2009
Profile,TXT,,투모로우바이투게더,2019-03-04,Big Hit,5,5,Boy,,Yes,2004
Profile,Hinapia,,희나피아,2019-11-03,Alseulbit,5,5,Girl,,No,2003
Profile,3YE,,써드아이,2019-05-21,GH,3,3,Girl,,Yes,2021
Profile,Rockit Girl,,락킷걸,2019-05-30,Rolling,2,2,Girl,,Yes,1930
Profile,Ariaz,,아리아즈,2019-10-23,Rising Star,6,6,Girl,,No,2023
Profile,Signal,,시그널,2019-08-28,J-Star,4,4,Boy,,Yes,2028
Profile,ANS,,에이엔에스,2019-09-16,ANS,8,6,Girl,,No,2016
,HighSchool,,여고생,2019-04-30,Richworld,4,4,Girl,High Class,No,1930
Profile,OnlyOneOf,,온리원오브,2019-05-28,RSVP,6,7,Boy,,Yes,2028
,1TEAM,,원팀,2019-03-27,LiveWorks,5,5,Boy,,No,2027
,API,,에이피아이,2019-04-19,BRICKWORKS,5,5,Girl,,Yes,2019
,ARGON,,아르곤,2019-03-11,MSH,6,6,Boy,A-Rang,Yes,2011
,AWEEK,,어위크,2019-01-31,Illusion,7,7,Boy,,Yes,1931
Profile,D1CE,,디원스,2019-08-01,Happyface,5,5,Boy,Don1y,Yes,2001
,DONGKIZ,,동키즈,2019-04-24,Dongyo,5,5,Boy,,Yes,2024
Profile,FANATICS,,파나틱스,2019-08-06,FENT,8,6,Girl,,Yes,2006
,N.CUS,,엔쿠스,2019-08-27,Kyuri,12,12,Boy,,Yes,2027
,ILUV,I LUV,아이러브,2019-04-30,WKS ENE,7,7,Girl,,No,1930
,Melody Pink,,멜로디핑크,2019-09-25,KD,4,4,Girl,,Yes,2025
Profile,Rocket Punch,,로켓펀치,2019-08-07,Woollim,6,6,Girl,,Yes,2007
,TREI,,트레이,2019-02-19,Banana,3,3,Boy,,No,2019
Profile,VANNER,,배너,2019-02-14,VT,5,5,Boy,,Yes,2014
,ICU,,아이씨유,2019-10-22,Liz,5,5,Girl,,Yes,2022
Profile,SuperM,,슈퍼엠,2019-10-04,SM,7,7,Boy,,Yes,2004
