Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,Post.1,Date.1,Artist.1,Song Name.1,Korean Name.1,Director.1,Video.1,Type.1,Release.1,Year
,2014-11-19,The Legend,I Wanna Know,,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-01-02,The SeeYa,More & More,하면할수록,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-01-20,The SeeYa,Tell Me,텔미,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-12-28,The SeeYa,The Song of Love,사랑의 노래,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-03-27,Tint,Wolf Is Stupid,늑대들은 몰라요,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-07-02,Tiny-G,Ice Baby,아이스 베이비,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-11-24,Tiny-G M,The Only One,,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-03-10,Toheart,Delicious,,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-04-06,Toheart,Tell Me Why,,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-01-15,Topp Dogg,Open The Door,들어와,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-02-12,Topp Dogg,Arario,아라리오,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-06-08,Topp Dogg,Topdog,,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-10-23,Topp Dogg,Annie,애니,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-02-05,Touch,Kimi Ni ～Maybe I Fall In Love～,キミに ～Maybe I Fall In Love～,,Youtube,Boy,Japanese,,,,,,,,,,2014
